saying_ja,saying_en
継続は力なり。,Persistence pays off.
千里の道も一歩から。,A journey of a thousand miles begins with a single step.
ローマは一日にして成らず。,Rome wasn't built in a day.
小さな努力が大きな成果を生む。,Small efforts lead to great results.
諦めたらそこで試合終了だよ。,If you give up the game is over.
成功への道は常に建設中。,The road to success is always under construction.
今日できることを明日に延ばすな。,Don't put off until tomorrow what you can do today.
努力は必ず報われる。,Hard work always pays off.
一歩ずつ着実に。,Step by step steadily.
夢を追うなら まず行動から。,To chase dreams start with action.
